# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0015467 -1.00000 9.00000 0.0900000036 1.0816895926    0.090 -3.214  3.4465  5.344    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.5e-17      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.804 18.501 17.422 16.521 15.582 15.219 12.724 12.390
0.0015467 -1.00000 9.00000 0.0963733867 1.1400774991    0.096 -3.082  3.4654  5.318    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.39e-17      0.00 7.469e-01 2.515e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.476 17.523 16.569 15.630 14.790 14.427 12.273 11.988
0.0015467 -1.00000 9.00000 0.0978432298 1.1528333608    0.098 -3.051  3.4700  5.311    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.92e-17      0.00 7.469e-01 2.515e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.397 17.297 16.370 15.424 14.607 14.244 12.168 11.893
0.0015467 -1.00000 9.00000 0.1000000015 1.1711064122    0.100 -3.002  3.4769  5.300    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.88e-17      0.00 7.468e-01 2.515e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.276 16.963 16.074 15.116 14.334 13.971 12.008 11.749
0.0015467 -1.00000 9.00000 0.1075852588 1.2315155622    0.108 -2.892  3.4900  5.274    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-16      0.00 7.468e-01 2.516e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.000 16.294 15.470 14.496 13.773 13.409 11.665 11.434
0.0015467 -1.00000 9.00000 0.1199999973 1.3193154249    0.120 -2.724  3.5099  5.233    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-16      0.00 7.467e-01 2.517e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.580 15.354 14.612 13.647 12.988 12.625 11.163 10.967
0.0015467 -1.00000 9.00000 0.1400000006 1.4384526719    0.140 -2.541  3.5277  5.187    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.47e-16      0.00 7.466e-01 2.518e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.122 14.495 13.812 12.882 12.259 11.898 10.647 10.476
0.0015467 -1.00000 9.00000 0.1519721150 1.4996581032    0.152 -2.456  3.5346  5.166    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.95e-16      0.00 7.465e-01 2.519e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.910 14.143 13.481 12.571 11.958 11.599 10.417 10.254
0.0015467 -1.00000 9.00000 0.1599999964 1.5372931554    0.160 -2.403  3.5389  5.153    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.3e-16      0.00 7.464e-01 2.519e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.778 13.925 13.276 12.378 11.772 11.413 10.273 10.116
0.0015467 -1.00000 9.00000 0.2000000179 1.6938791367    0.200 -2.196  3.5537  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-16      0.00 7.463e-01 2.521e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.261 13.138 12.530 11.677 11.089 10.734 9.722 9.581
0.0015467 -1.00000 9.00000 0.2172074467 1.7491919134    0.217 -2.126  3.5581  5.085    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.8e-16      0.00 7.462e-01 2.521e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.084 12.886 12.289 11.450 10.867 10.514 9.537 9.400
